biblioitem,former_leader,suggested_change
3,02881aca a2200481   4500,02881acm a2200481   4500
4,03207aca a2200613   4500,03207acm a2200613   4500
32,01492ada a2200289   4500,01492adm a2200289   4500
48,01091aas a2200241   4500,01091aam a2200241   4500
54,01638    a2200301   4500,01638  m a2200301   4500
68,01934    a2200289   4500,01934  m a2200289   4500
69,01895    a2200385   4500,01895  m a2200385   4500
70,01904    a2200277   4500,01904  m a2200277   4500
71,02023    a2200313   4500,02023  m a2200313   4500
74,01303    a2200229   4500,01303  m a2200229   4500
76,02379    a2200265   4500,02379  m a2200265   4500
77,01283    a2200241   4500,01283  m a2200241   4500
78,00959    a2200205   4500,00959  m a2200205   4500
82,01215    a2200241   4500,01215  m a2200241   4500
85,02213    a2200349   4500,02213  m a2200349   4500
86,01354    a2200229   4500,01354  m a2200229   4500
87,01451    a2200277   4500,01451  m a2200277   4500
90,02916    a2200445   4500,02916  m a2200445   4500
91,01271    a2200277   4500,01271  m a2200277   4500
92,01376aca a2200289   4500,01376acm a2200289   4500
93,02209    a2200277   4500,02209  m a2200277   4500
94,01624aca a2200301   4500,01624acm a2200301   4500
96,01800aca a2200325   4500,01800acm a2200325   4500
97,01321aca a2200277   4500,01321acm a2200277   4500
98,01510    a2200277   4500,01510  m a2200277   4500
99,00871aka a2200217   4500,00871akm a2200217   4500
104,02987    a2200637   4500,02987  m a2200637   4500
105,03114    a2200589   4500,03114  m a2200589   4500
114,01984    a2200409   4500,01984  m a2200409   4500
116,02462    a2200505   4500,02462  m a2200505   4500
132,04503    a2200793   4500,04503  m a2200793   4500
137,01378    a2200265   4500,01378  m a2200265   4500
138,01318    a2200265   4500,01318  m a2200265   4500
139,01681    a2200289   4500,01681  m a2200289   4500
140,01146    a2200241   4500,01146  m a2200241   4500
141,01452    a2200265   4500,01452  m a2200265   4500
142,01464    a2200289   4500,01464  m a2200289   4500
143,01093    a2200229   4500,01093  m a2200229   4500
144,01157    a2200229   4500,01157  m a2200229   4500
145,03121    a2200517   4500,03121  m a2200517   4500
148,00974    a2200229   4500,00974  m a2200229   4500
149,01050    a2200229   4500,01050  m a2200229   4500
150,01051    a2200241   4500,01051  m a2200241   4500
151,01205    a2200253   4500,01205  m a2200253   4500
152,01049    a2200241   4500,01049  m a2200241   4500
153,00910    a2200229   4500,00910  m a2200229   4500
154,01665    a2200265   4500,01665  m a2200265   4500
155,01141    a2200253   4500,01141  m a2200253   4500
156,01094    a2200229   4500,01094  m a2200229   4500
157,01012    a2200217   4500,01012  m a2200217   4500
158,00908    a2200217   4500,00908  m a2200217   4500
161,01709aac a2200265   4500,01709aam a2200265   4500
165,01891    a2200325   4500,01891  m a2200325   4500
174,03832    a2200733   4500,03832  m a2200733   4500
199,08312ada a2200697   4500,08312adm a2200697   4500
209,01498aca a2200277   4500,01498acm a2200277   4500
211,02090    a2200325   4500,02090  m a2200325   4500
215,02514    a2200409   4500,02514  m a2200409   4500
247,01229    a2200217   4500,01229  m a2200217   4500
251,00590    a2200157   4500,00590  m a2200157   4500
262,03032    a2200337   4500,03032  m a2200337   4500
265,01876aab a2200217   4500,01876aam a2200217   4500
283,02046    a2200373   4500,02046  m a2200373   4500
291,04976    a2200745   4500,04976  m a2200745   4500
311,01922    a2200277   4500,01922  m a2200277   4500
312,00703    a2200193   4500,00703  m a2200193   4500
313,02217aac a2200301   4500,02217aam a2200301   4500
316,01283    a2200253   4500,01283  m a2200253   4500
325,00636    a2200181   4500,00636  m a2200181   4500
326,02190aac a2200325   4500,02190aam a2200325   4500
327,00633    a2200181   4500,00633  m a2200181   4500
344,01241    a2200241   4500,01241  m a2200241   4500
346,01600    a2200277   4500,01600  m a2200277   4500
347,02930aca a2200397   4500,02930acm a2200397   4500
348,02388aca a2200289   4500,02388acm a2200289   4500
349,01657aca a2200241   4500,01657acm a2200241   4500
351,02515aac a2200313   4500,02515aam a2200313   4500
352,02408    a2200445   4500,02408  m a2200445   4500
365,01309    a2200241   4500,01309  m a2200241   4500
369,02229    a2200361   4500,02229  m a2200361   4500
370,05788    a2200553   4500,05788  m a2200553   4500
371,01193    a2200253   4500,01193  m a2200253   4500
372,01427    a2200265   4500,01427  m a2200265   4500
373,01153    a2200241   4500,01153  m a2200241   4500
374,01838    a2200253   4500,01838  m a2200253   4500
375,02054    a2200277   4500,02054  m a2200277   4500
376,04512    a2200829   4500,04512  m a2200829   4500
383,03578    a2200661   4500,03578  m a2200661   4500
388,01200    a2200253   4500,01200  m a2200253   4500
393,01135    a2200217   4500,01135  m a2200217   4500
394,00901    a2200205   4500,00901  m a2200205   4500
411,02033acc a2200301   4500,02033acm a2200301   4500
413,02210    a2200421   4500,02210  m a2200421   4500
446,02024aac a2200277   4500,02024aam a2200277   4500
447,01672aac a2200241   4500,01672aam a2200241   4500
449,01883aac a2200265   4500,01883aam a2200265   4500
451,17972    a2203373   4500,17972  m a2203373   4500
462,00970    a2200217   4500,00970  m a2200217   4500
463,02235    a2200481   4500,02235  m a2200481   4500
465,01698    a2200325   4500,01698  m a2200325   4500
466,01945    a2200385   4500,01945  m a2200385   4500
470,01874    a2200325   4500,01874  m a2200325   4500
471,03369    a2200589   4500,03369  m a2200589   4500
473,08091    a2201477   4500,08091  m a2201477   4500
478,01605    a2200277   4500,01605  m a2200277   4500
480,01087    a2200241   4500,01087  m a2200241   4500
481,03292    a2200613   4500,03292  m a2200613   4500
482,07218    a2201117   4500,07218  m a2201117   4500
483,03422    a2200697   4500,03422  m a2200697   4500
484,03260    a2200553   4500,03260  m a2200553   4500
485,01589    a2200277   4500,01589  m a2200277   4500
488,00563    a2200157   4500,00563  m a2200157   4500
490,00838    a2200205   4500,00838  m a2200205   4500
491,01681    a2200361   4500,01681  m a2200361   4500
493,01003aac a2200205   4500,01003aam a2200205   4500
494,01976    a2200349   4500,01976  m a2200349   4500
496,00977    a2200217   4500,00977  m a2200217   4500
498,02840    a2200325   4500,02840  m a2200325   4500
500,01545    a2200373   4500,01545  m a2200373   4500
501,00853    a2200181   4500,00853  m a2200181   4500
502,00547    a2200157   4500,00547  m a2200157   4500
503,00707    a2200193   4500,00707  m a2200193   4500
504,00525    a2200145   4500,00525  m a2200145   4500
506,00505    a2200145   4500,00505  m a2200145   4500
507,00526    a2200145   4500,00526  m a2200145   4500
508,00546    a2200157   4500,00546  m a2200157   4500
509,00777    a2200193   4500,00777  m a2200193   4500
510,00794    a2200169   4500,00794  m a2200169   4500
511,00833    a2200193   4500,00833  m a2200193   4500
512,00591    a2200169   4500,00591  m a2200169   4500
514,00578    a2200169   4500,00578  m a2200169   4500
516,01601    a2200337   4500,01601  m a2200337   4500
517,02168    a2200373   4500,02168  m a2200373   4500
518,01815    a2200361   4500,01815  m a2200361   4500
519,02479    a2200469   4500,02479  m a2200469   4500
520,02810    a2200301   4500,02810  m a2200301   4500
523,02614    a2200565   4500,02614  m a2200565   4500
524,04741    a2200997   4500,04741  m a2200997   4500
525,01120    a2200229   4500,01120  m a2200229   4500
526,01603    a2200229   4500,01603  m a2200229   4500
528,01190    a2200253   4500,01190  m a2200253   4500
529,01319    a2200265   4500,01319  m a2200265   4500
534,01481    a2200253   4500,01481  m a2200253   4500
535,01314    a2200265   4500,01314  m a2200265   4500
536,01386    a2200289   4500,01386  m a2200289   4500
538,01729    a2200349   4500,01729  m a2200349   4500
539,02952    a2200349   4500,02952  m a2200349   4500
540,03132    a2200337   4500,03132  m a2200337   4500
