biblioitem,call_number
70,KTS1 C1.51 01C02
71,KTS1 C1.51 01C03
74,KTS1 C1.51 01C01
75,KTS1 C1.51 01C12
76,KTS1 C1.51 01C13
77,KTS1 C1.52 01C17
78,KTS1 C1.52 01C15
79,KTS1 C1.52 01C20
80,KTS1 C1.52 01C21
81,KTS1 C1.52 01D01
82,KTS1 C1.52 01D02
84,KTS1 C1.52 01C19
86,KTS1 C1.52 01D06
87,KTS1 C1.52 01D07
90,KTS1 C1.52 01D10
91,KTS1 C1.52 01D12
92,KTS1 C1.52 01D08
93,KTS1 C1.52 01D13
94,KTS1 C1.52 01D15
97,KTS1 C1.52 01D17
98,KTS1 C1.52 01D19
100,KTS1 C1.52 01D21
101,KTS1 C1.52 01D22
102,KTS1 C1.52 01D20
103,KTS1 C1.52 01D24
104,KTS1 C1.52 01D25
106,KTS1 C1.52 01D26
107,KTS1 C1.52 01D28a
108,KTS1 C1.52 01D28b
109,KTS1 C1.52 01D28c
111,KTS1 C1.52 01D27
113,KTS1 C1.53 01D30
114,KTS1 C1.53 01D31
115,KTS1 C1.53 01D32
116,KTS1 C1.53 01D33
117,KTS1 C1.52 01D29
137,KTS1 C1.01 01F01
138,KTS1 C1.01 01F02
139,KTS1 C1.01 01F04
140,KTS1 C1.01 01F05
141,KTS1 C1.01 01F03
142,KTS1 C1.01 01F07
143,KTS1 C1.01 01F08
144,KTS1 C1.01 01F06
145,KTS1 C1.01 01F09
146,KTS1 C1.01 01F10
147,KTS1 C1.01 01F11
148,KTS1 C1.01 01F12
149,KTS1 C1.01 01F13
150,KTS1 C1.01 01F14
151,KTS1 C1.01 01F16
152,KTS1 C1.01 01F15
153,KTS1 C1.01 01F17
154,KTS1 C1.01 01F18_01
155,KTS1 C1.01 01F20
156,KTS1 C1.01 01F19
157,KTS1 C1.01 01F21
158,KTS1 C1.01 01F23
160,KTS1 C2.01 01G01c
161,KTS1 C2.01 01G01a
162,KTS1 C2.01 01G01e
163,KTS1 C2.01 01G01f
164,KTS1 C2.01 01G01g
165,KTS1 C2.01 01G01h
167,KTS1 C2.01 01G03
168,KTS1 C2.01 01G04
169,KTS1 C2.01 01G01d
170,KTS1 C2.01 01G06
173,KTS1 C2.01 01G08
174,KTS1 C2.01 01G10
175,KTS1 C2.01 01G11
177,KTS1 C2.01 01G09
178,KTS1 C2.01 01G14
179,KTS1 C2.01 01G15
180,KTS1 C2.01 01G16
181,KTS1 C2.01 01G13
183,KTS1 C2.01 01G19
185,KTS1 C2.01 01G21
186,KTS1 C2.01 01G22
189,KTS1 C2.01 01G20
235,KTS1 C1.68 02B01
237,KTS1 C1.68 02B02a
238,KTS1 C1.68 02B04
239,KTS1 C1.68 02B05
242,KTS1 C1.68 02B07
243,KTS1 C1.68 02B06a
244,KTS1 C1.68 02B10
245,KTS1 C1.68 02B11
249,KTS1 C1.68 02B13
250,KTS1 C1.68 02B16a
252,KTS1 C1.68 02B18
255,KTS1 C1.68 02B20
256,KTS1 C1.69 02B22
257,KTS1 C1.68 02B21
261,KTS1 C1.69 02B23
300,KTS1 C3.33 02E22c
308,KTS1 C3.33 02E22n
311,KTS1 C1.69 02F01
313,KTS1 C1.69 02F04_01
314,KTS1 C1.69 02F03
315,KTS1 C1.69 02F06
316,KTS1 C1.69 02F07
317,KTS1 C1.69 02F05
319,KTS1 C1.69 02F10a
321,KTS1 C1.69 02F10b
322,KTS1 C1.69 02F10c
324,KTS1 C1.69 02F08
326,KTS1 C1.69 02F13_01
329,KTS1 C1.69 02F14
346,KTS1 C2.30 02G14
393,KTS1 C1.65 03C05
394,KTS1 C1.65 03C07
395,KTS1 C1.65 03C08
396,KTS1 C1.65 03C09
397,KTS1 C1.65 03C10
399,KTS1 C1.65 03C17
400,KTS1 C1.65-66 03C18
403,KTS1 C1.66 03D01b
404,KTS1 C1.66 03D01c
405,KTS1 C1.66 03D01a
406,KTS1 C1.66 03D02b
407,KTS1 C1.66 03D02a
408,KTS1 C1.66 03D03b
410,KTS1 C1.66 03D04
411,KTS1 C1.66 03D06_01
412,KTS1 C1.66 03D07
413,KTS1 C1.66 03D08_01-02
415,KTS1 C1.66 03D10
416,KTS1 C1.66 03D11
417,KTS1 C1.66 03D12
418,KTS1 C1.66 03D13
419,KTS1 C1.66 03D14
420,KTS1 C1.66 03D15
421,KTS1 C1.66 03D16
422,KTS1 C1.66 03D17
423,KTS1 C1.66 03D18
424,KTS1 C1.66 03D19
425,KTS1 C1.66 03D20
426,KTS1 C1.66 03D21
427,KTS1 C1.66 03D22
428,KTS1 C1.66 03D23
429,KTS1 C1.66 03D24
430,KTS1 C1.66 03D25
431,KTS1 C1.67 03D26
432,KTS1 C1.67 03D27
433,KTS1 C1.67 03D28
436,KTS1 C1.43 03E22
437,KTS1 C1.43 03E23
438,KTS1 C1.43 03E24
439,KTS1 C1.43 03E25
440,KTS1 C1.43 03E26
443,KTS1 C1.67 03F02
444,KTS1 C1.67 03F03
445,KTS1 C1.67 03F04
447,KTS1 C1.67 03F08
448,KTS1 C1.67 03F10
450,KTS1 C1.67 03F13
451,KTS1 C1.67 03F14
453,KTS1 C1.67 03F16
455,KTS1 C1.68 03F18
456,KTS1 C1.68 03F19
457,KTS1 C1.68 03F20
458,KTS1 C1.68 03F21
466,KTS1 C1.44 03G08
469,KTS1 C1.44 03G11
470,KTS1 C1.44 03G12
471,KTS1 C1.44 03G13
478,KTS1 C1.44 03G17
479,KTS1 C1.44 03G18
480,KTS1 C1.44 03G19
483,KTS1 C1.44 03G24
484,KTS1 C1.44 03G25
485,KTS1 C1.53 03G26
486,KTS1 C1.53 03G27
487,KTS1 C1.53 03G28
489,KTS1 C1.53 03H02
490,KTS1 C1.53 03H03
491,KTS1 C1.53 03H04
492,KTS1 C1.53 03H05
496,KTS1 C1.53 03H09
498,KTS1 C1.53 03H11
500,KTS1 C1.53 03H13
513,KTS1 C1.53 03H26
515,KTS1 C1.53 03H28
516,KTS1 C1.53 03H29
517,KTS1 C1.53 03H30
518,KTS1 C1.53 03H31
523,KTS1 C1.53 03H36
524,KTS1 C1.53 03H37
525,KTS1 C1.53 03H38
527,KTS1 C1.53 03H40
528,KTS1 C1.53 03H41
529,KTS1 C1.53 03H42
531,KTS1 C1.53 03H44
532,KTS1 C1.53 03H45
533,KTS1 C1.53 03H46
534,KTS1 C1.53 03H47
535,KTS1 C1.53 03H48
536,KTS1 C1.53 03H49
538,KTS1 C1.53 03H51
539,KTS1 C1.53 03H52a
540,KTS1 C1.53 03H52b
542,KTS1 C1.53 03H52d
543,KTS1 C1.53 03H52f
544,KTS1 C1.53 03H52g
546,KTS1 C1.53 03H56d
547,KTS1 C1.53 03H56a
548,KTS1 C1.53 03H56c
549,KTS1 C1.53 03H56b
550,KTS1 C1.53 03H57
551,KTS1 C1.53 03H58
552,KTS1 C1.53 03H59
553,KTS1 C1.53 03H60
554,KTS1 C1.54 03H61
555,KTS1 C1.54 03H62
556,KTS1 C1.54 03H63
688,KTS1 C1.55 04A11
689,KTS1 C1.55 04A12
690,KTS1 C1.55 04A13
691,KTS1 C1.55 04A14
692,KTS1 C1.55 04A15
693,KTS1 C1.55 04A16
694,KTS1 C1.55 04A17
695,KTS1 C1.55 04A18
699,KTS1 C1.45 04B02
700,KTS1 C1.45 04B04b
701,KTS1 C1.45 04B04a
702,KTS1 C1.45 04B05
703,KTS1 C1.45 04B06
704,KTS1 C1.45 04B07
705,KTS1 C1.45 04B08
706,KTS1 C1.45 04B09
708,KTS1 C1.45 04B10
709,KTS1 C1.45 04B11
710,KTS1 C1.45 04B12
712,KTS1 C1.45 04B13b
713,KTS1 C1.45 04B14
714,KTS1 C1.45 04B17
715,KTS1 C1.45 04B26
717,KTS1 C1.45 04B28
718,KTS1 C1.45 04B29
719,KTS1 C1.45 04B30
720,KTS1 C1.45 04B31
722,KTS1 C1.46 04C03
723,KTS1 C1.46 04C04
724,KTS1 C1.46 04C05
727,KTS1 C1.46 04C06c
729,KTS1 C1.46 04C08
732,KTS1 C1.46 04C15
733,KTS1 C1.46 04C16
734,KTS1 C1.46 04C17
736,KTS1 C1.46 04C19
738,KTS1 C1.46 04C21
739,KTS1 C1.46 04C22
741,KTS1 C1.46 04C25
742,KTS1 C1.46 04C26
743,KTS1 C1.46 04C27
744,KTS1 C1.46 04C33
745,KTS1 C1.46 04C34
746,KTS1 C1.47 04C35
747,KTS1 C1.47 04C36
750,KTS1 C1.47 04D03
751,KTS1 C1.47 04D04
755,KTS1 C1.47 04D10b
758,KTS1 C1.47 04D11
759,KTS1 C1.47 04D12
762,KTS1 C1.47 04D24
763,KTS1 C1.47 04D25
764,KTS1 C1.47 04D26
765,KTS1 C1.47 04D27
766,KTS1 C1.47 04D28
768,KTS1 C1.47 04D30
769,KTS1 C1.47 04D31
773,KTS1 C1.48 04D35
774,KTS1 C1.48 04D36
775,KTS1 C1.48 04D37
777,KTS1 C1.48 04D39
780,KTS1 C1.48 04D42
783,KTS1 C1.48 04E04
784,KTS1 C1.48 04E05
787,KTS1 C1.48 04E11
788,KTS1 C1.48 04E12
789,KTS1 C1.48 04E13
791,KTS1 C1.48 04E16
792,KTS1 C1.48 04E17
793,KTS1 C1.48 04E18
797,KTS1 C1.49 04E22
798,KTS1 C1.49 04E25
800,KTS1 C1.49 04F01
801,KTS1 C1.49 04F02
804,KTS1 C1.49 04F06
807,KTS1 C1.49 04F12a
809,KTS1 C1.49 04F13
810,KTS1 C1.49 04F14
812,KTS1 C1.49 04F16
813,KTS1 C1.49 04F17
814,KTS1 C1.49 04F18
815,KTS1 C1.49 04F19
819,KTS1 C1.49 04F23
821,KTS1 C1.49 04F25
822,KTS1 C1.50 04F26
828,KTS1 C1.50 04G05
829,KTS1 C1.50 04G09
830,KTS1 C1.50 04G10
832,KTS1 C1.50 04G14
834,KTS1 C1.50 04G16
835,KTS1 C1.50 04G16
837,KTS1 C1.50 04G18
843,KTS1 C1.56 04G23a
844,KTS1 C1.56 04H01
845,KTS1 C1.56 04H02
847,KTS1 C1.56 04H04
849,KTS1 C1.56 04H06
850,KTS1 C1.56 04H10
852,KTS1 C1.70 02F17_01a
853,KTS1 C1.70 02F17_01b
854,KTS1 C1.70 02F17_01c
855,KTS1 C1.70 02F17_01d
856,KTS1 C1.70 02F17_01e
857,KTS1 C1.70 02F17_01f
858,KTS1 C1.70 02F17_01g
859,KTS1 C1.56 02F17_01h
860,KTS1 C1.70 02F17_01i
861,KTS1 C1.70 02F17_01j
862,KTS1 C1.70 02F17_01k
863,KTS1 C1.70 02F17_01l
864,KTS1 C1.70 02F17_01m
865,KTS1 C1.70 02F17_01n
866,KTS1 C1.70 02F17_01o
867,KTS1 C1.70 02F17_01p
875,KTS1 C1.70 02F17_02n
876,KTS1 C1.70 02F17_02o
878,KTS1 C1.70 02F18
939,KTS1 C1.04 05A01
940,KTS1 C1.04 05A02
941,KTS1 C1.04 05A03
942,KTS1 C1.04 05A04
943,KTS1 C1.04 05A05
944,KTS1 C1.04 05A06
945,KTS1 C1.04 05A07
946,KTS1 C1.04 05A08
947,KTS1 C1.04 05A09
950,KTS1 C1.04 05A12
951,KTS1 C1.04 05A13
952,KTS1 C1.04 05A14
953,KTS1 C1.04 05A15
954,KTS1 C1.04 05A16
955,KTS1 C1.04 05A17
956,KTS1 C1.04 05A18
957,KTS1 C1.04 05A19
960,KTS1 C1.02 05B02
961,KTS1 C1.02 05B03
964,KTS1 C1.02 05B06
965,KTS1 C1.02 05B07
967,KTS1 C1.02 05B12
970,KTS1 C1.02 05B13c
975,KTS1 C1.02 05B13h
976,KTS1 C1.02 05B13i
977,KTS1 C1.02 05B13j
978,KTS1 C1.02 05B14
979,KTS1 C1.02 05B19
980,KTS1 C1.02 05B20
981,KTS1 C1.02 05B21
982,KTS1 C1.02 05B22
983,KTS1 C1.02 05B23
986,KTS1 C1.02 05B26
988,KTS1 C1.31 05C01
989,KTS1 C1.31 05C02
990,KTS1 C1.31 05C03
991,KTS1 C1.31 05C07
992,KTS1 C1.31 05C08
993,KTS1 C1.31 05C09
994,KTS1 C1.31 05C11
996,KTS1 C1.31 05C13
997,KTS1 C1.31 05C14
999,KTS1 C1.31 05C18
1000,KTS1 C1.31 05C19
1001,KTS1 C1.37 05C20
1003,KTS1 C1.38 05C22
1004,KTS1 C1.38 05C23c
1005,KTS1 C1.38 05C23b
1006,KTS1 C1.38 05C23a
1007,KTS1 C1.05 05C24
1008,KTS1 C1.05 05D01
1009,KTS1 C1.05 05D02
1010,KTS1 C1.05 05D03
1011,KTS1 C1.05 05D04
1014,KTS1 C1.05 05D09
1015,KTS1 C1.05 05D10
1016,KTS1 C1.05 05D11
1017,KTS1 C1.05 05D12
1020,KTS1 C1.05 05D18
1021,KTS1 C1.05 05D19
1022,KTS1 C1.05 05D20
1023,KTS1 C1.05 05D21
1024,KTS1 C1.05 05D22
1025,KTS1 C1.06 05D23
1026,KTS1 C1.06 05E01
1027,KTS1 C1.06 05E02-04
1029,KTS1 C1.06 05E06
1030,KTS1 C1.06 05E07
1034,KTS1 C1.06 05E11
1036,KTS1 C1.06 05E14
1038,KTS1 C1.06 05E16
1042,KTS1 C1.07 05E20
1043,KTS1 C1.07 05E21
1044,KTS1 C1.07 05E22
1046,KTS1 C1.07 05F02
1050,KTS1 C1.07 05F06
1052,KTS1 C1.07 05F08
1054,KTS1 C1.07 05F10
1057,KTS1 C1.07 05F13
1059,KTS1 C1.07 05F15
1062,KTS1 C1.07 05F18
1063,KTS1 C1.07 05F19
1065,KTS1 C1.07 05F21
1066,KTS1 C1.07 05F23
1067,KTS1 C1.07 05F24
1068,KTS1 C1.07 05F25
1069,KTS1 C1.07 05F26
1070,KTS1 C1.07 05F27
1073,KTS1 C1.07 05F30
1074,KTS1 C1.07 05F31
1075,KTS1 C1.07 05F32
1076,KTS1 C1.07 05F33
1078,KTS1 C1.07 05F36
1080,KTS1 C1.07 05F38
1082,KTS1 C1.07 05F40
1083,KTS1 C1.07 05F42
1085,KTS1 C1.07 05F44
1087,KTS1 C1.07 05F46
1088,KTS1 C1.08 05F47
1089,KTS1 C1.08 05F48
1090,KTS1 C1.08 05F50
1091,KTS1 C1.08 05G01
1092,KTS1 C1.08 05G02
1093,KTS1 C1.08 05G03
1094,KTS1 C1.08 05G04
1095,KTS1 C1.08 05G05
1096,KTS1 C1.08 05G06
1097,KTS1 C1.08 05G07
1098,KTS1 C1.08 05G08
1099,KTS1 C1.08 05G09
1101,KTS1 C1.08 05G13
1102,KTS1 C1.08 05G14
1103,KTS1 C1.08 05G15
1104,KTS1 C1.08 05G16
1106,KTS1 C1.08-09 05G18
1107,KTS1 C1.09 05G19
1109,KTS1 C1.09 05G24
1110,KTS1 C1.09 05G25
1114,KTS1 C1.09 05H03
1115,KTS1 C1.09 05H04
1116,KTS1 C1.09 05H05
1118,KTS1 C1.09 05H07
1119,KTS1 C1.09 05H08
1120,KTS1 C1.09 05H09
1121,KTS1 C1.09 05H10
1122,KTS1 C1.09 05H11
1123,KTS1 C1.09 05H12
1127,KTS1 C1.09 05H18
1128,KTS1 C1.09 05H19
1129,KTS1 C1.09 05H20
1130,KTS1 C1.09 05H21
1132,KTS1 C1.09 05H23
1133,KTS1 C1.10 05H25
1135,KTS1 C1.10 05H26b
1136,KTS1 C1.10 05H27
1137,KTS1 C1.10 05H28
1138,KTS1 C1.10 05H29
1139,KTS1 C1.10 05I01
1141,KTS1 C1.10 05I03
1142,KTS1 C1.10 05I04
1145,KTS1 C1.10 05I07
1147,KTS1 C1.62 05I12
1149,KTS1 C1.10 05I15
1151,KTS1 C1.62 05I18
1204,KTS1 C1.41 05L18
1208,KTS1 C1.41 05L22b
1209,KTS1 C1.41 05L22a
1256,KTS1 C1.61 06E03
1257,KTS1 C1.61 06E04
1258,KTS1 C1.61 06E05
1259,KTS1 C1.61 06E06
1260,KTS1 C1.61 06E07
1261,KTS1 C1.61 06E08
1262,KTS1 C1.61 06E09c
1263,KTS1 C1.61 06E09b
1264,KTS1 C1.61 06E09d
1265,KTS1 C1.61 06E09a
1266,KTS1 C1.61 06E10a
1267,KTS1 C1.61 06E10b
1270,KTS1 C1.61 06E13
1271,KTS1 C1.61 06F01_01-03
1272,KTS1 C1.61 06F02a
1273,KTS1 C1.62 06F03_01
1274,KTS1 C1.61 06F04
1277,KTS1 C1.62 06F06b
1278,KTS1 C1.62 06F07_01
1279,KTS1 C2.43 06F08
1314,KTS1 C2.44 06I06
1337,KTS1 C1.03 05B36
1390,KTS1 C1.62 06P03
1391,KTS1 C1.62 06P04
1392,KTS1 C1.62 06P05
1394,KTS1 C1.62 06P07
1395,KTS1 C1.62 06P09
1396,KTS1 C1.62 06P08
1397,KTS1 C1.62 06P10
1398,KTS1 C1.62 06P11_01
1399,KTS1 C1.32 06P12
1400,KTS1 C1.32 07A01
1401,KTS1 C1.32 07A02
1402,KTS1 C1.32 07A03
1404,KTS1 C1.32 07A05
1405,KTS1 C1.32 07A06
1406,KTS1 C1.32 07A06
1407,KTS1 C1.32 07A07
1411,KTS1 C1.32 07A11
1412,KTS1 C1.32 07A12
1413,KTS1 C1.32 07A13
1415,KTS1 C1.32 07A15
1420,KTS1 C1.32 07A18b
1423,KTS1 C1.32 07A20b
1424,KTS1 C1.32 07A19b
1425,KTS1 C1.32 07A19a
1426,KTS1 C1.32 07A21
1428,KTS1 C1.32 07A23
1429,KTS1 C1.32 07A24
1432,KTS1 C1.33 07A27
1433,KTS1 C1.33 07A28
1434,KTS1 C1.33 07A29a
1435,KTS1 C1.33 07A30
1436,KTS1 C2.10 07B01
1439,KTS1 C2.10 07B04
1441,KTS1 C2.10 07B06
1443,KTS1 C2.10 07B08
1444,KTS1 C2.10 07B09
