biblioitem,call_number
1445,KTS1 C2.10 07B10a
1446,KTS1 C2.10 07B10b
1447,KTS1 C2.10 07B11
1448,KTS1 C2.10 07B12
1449,KTS1 C2.10 07B13_01
1451,KTS1 C2.10 07B15
1452,KTS1 C2.10 07B16
1453,KTS1 C2.10 07B17
1454,KTS1 C2.10 07B18
1457,KTS1 C2.10 07B21
1458,KTS1 C2.10 07B22
1459,KTS1 C2.11 07B36
1460,KTS1 C2.10 07B37
1463,KTS1 C2.11 07B40
1464,KTS1 C2.11 07C01
1465,KTS1 C2.11 07C02a
1466,KTS1 C2.11 07C03
1467,KTS1 C2.11 07C04
1468,KTS1 C2.11 07C05
1469,KTS1 C2.11 07C06
1470,KTS1 C2.11 07C07
1471,KTS1 C2.11 07C08
1473,KTS1 C2.11 07C10
1474,KTS1 C2.11 07C11
1475,KTS1 C2.11 07C12a
1476,KTS1 C2.11 07C12b
1477,KTS1 C2.11 07C13
1478,KTS1 C2.11 07C14
1479,KTS1 C2.11 07C15
1480,KTS1 C2.11 07C16
1481,KTS1 C2.11 07C17
1483,KTS1 C2.11 07C19
1485,KTS1 C2.19 07C21
1486,KTS1 C2.19 07C22
1488,KTS1 C2.19 07C24
1490,KTS1 C2.19 07C26
1493,KTS1 C2.19 07C29
1494,KTS1 C2.19 07C30
1496,KTS1 C2.19 07C32
1497,KTS1 C2.19 07C33
1498,KTS1 C2.19 07C34
1499,KTS1 C2.19 07C35
1500,KTS1 C2.19 07C36
1501,KTS1 C2.19 07C37
1503,KTS1 C2.19 07C39
1504,KTS1 C2.19 07C40
1569,KTS1 C2.32 07D41
1584,KTS1 C1.33 07E01b
1585,KTS1 C1.33 07E01c
1586,KTS1 C1.33 07E01d
1587,KTS1 C1.33 07E01e
1588,KTS1 C1.33 07E01f
1589,KTS1 C1.33 07E02
1590,KTS1 C1.33 07E03
1591,KTS1 C1.33 07E04
1592,KTS1 C1.33 07E05
1593,KTS1 C1.33 07E06
1594,KTS1 C1.33 07E07
1595,KTS1 C1.33 07E08
1596,KTS1 C1.33 07E09
1597,KTS1 C1.33 07E10
1598,KTS1 C1.33 07E11
1600,KTS1 C1.33 07E13
1601,KTS1 C1.33 07E14a
1602,KTS1 C1.33 07E15
1603,KTS1 C1.33 07E16
1605,KTS1 C1.33 07E18
1608,KTS1 C1.33 07E22_01
1610,KTS1 C1.33 07E23a-d
1611,KTS1 C1.33 07E24a
1612,KTS1 C1.33 07E24a-b
1613,KTS1 C1.33 07E24a-b
1614,KTS1 C1.33 07E26
1615,KTS1 C1.33 07E27d
1616,KTS1 C1.33 07E27f
1619,KTS1 C1.33 07E27j
1620,KTS1 C1.33 07E27g
1621,KTS1 C1.33 07E27h
1622,KTS1 C1.33 07E27l
1623,KTS1 C1.33 07E27e
1624,KTS1 C1.33 07E27b
1625,KTS1 C1.33 07E27k
1626,KTS1 C1.33 07E27c
1627,KTS1 C1.33 07E31
1630,KTS1 C1.33 07E35b
1631,KTS1 C1.33 07E35a
1632,KTS1 C1.33 07E37
1633,KTS1 C1.33 07E38
1634,KTS1 C1.33 07E39
1635,KTS1 C1.33 07E40
1637,KTS1 C1.33 07E42
1639,KTS1 C1.33 07E44
1640,KTS1 C1.33 07E45
1641,KTS1 C1.33 07E46
1642,KTS1 C1.33 07E47
1643,KTS1 C1.33 07E48
1644,KTS1 C1.33 07E51a-g
1645,KTS1 C1.33 07E53
1647,KTS1 C1.34 07E55
1648,KTS1 C1.34 07E56 a-g
1649,KTS1 C1.34 07E57
1650,KTS1 C1.34 07E58
1651,KTS1 C1.34 07E60
1652,KTS1 C1.34 07E61
1656,KTS1 C1.34 07E65
1657,KTS1 C1.32 07A04
1659,KTS1 C1.34 07E68
1660,KTS1 C1.34 07E69
1661,KTS1 C1.34 07E70
1662,KTS1 C1.34 07E71g
1671,KTS1 C1.34 07E72
1672,KTS1 C1.34 07E73
1679,KTS1 C2.33 07F05a
1680,KTS1 C2.33 07F05b
1681,KTS1 C2.33 07F05c
1682,KTS1 C2.33 07F05d
1683,KTS1 C2.33 07F05e
1684,KTS1 C2.33 07F05f
1703,KTS1 C2.33 07F25a
1730,KTS1 C1.34 07G05
1731,KTS1 C1.34 07G06
1732,KTS1 C1.35 07G07
1733,KTS1 C1.35 07G08
1738,KTS1 C1.35 07H03a
1739,KTS1 C1.35 07H03b
1742,KTS1 C1.35 07H06
1743,KTS1 C1.35 07H07
1744,KTS1 C1.35 07H08
1745,KTS1 C1.35 07H09b
1746,KTS1 C1.35 07H09a
1747,KTS1 C1.35 07H10
1748,KTS1 C1.35 07H11
1749,KTS1 C1.35 07H12a
1750,KTS1 C1.35 07H12b
1751,KTS1 C1.35 07H12c
1752,KTS1 C1.35 07H12d
1753,KTS1 C1.35 07H12e
1754,KTS1 C1.35 07H12f
1755,KTS1 C1.35 07H13_01
1757,KTS1 C1.39 07H15
1758,KTS1 C1.39 07H16
1759,KTS1 C1.39 07H17
1760,KTS1 C1.39 07H18
1762,KTS1 C1.39 07H20
1764,KTS1 C1.39 07H22
1765,KTS1 C1.39 07H23
1766,KTS1 C1.39 07H24a
1767,KTS1 C1.39 07H24b
1768,KTS1 C1.39 07H25
1769,KTS1 C1.39 07H26
1770,KTS1 C1.39 07H27_01
1808,KTS1 C2.19 08B02
1810,KTS1 C2.19 08B04
1811,KTS1 C2.19 08B05
1812,KTS1 C2.19 08B06
1813,KTS1 C2.19 08B07
1814,KTS1 C2.19 08B08
1815,KTS1 C2.19 08B09
1816,KTS1 C2.19 08B10
1819,KTS1 C2.19 08B12
1820,KTS1 C2.20 08B13
1821,KTS1 C2.19 08B14b
1822,KTS1 C2.19 08B14a
1824,KTS1 C2.19 08B16
1825,KTS1 C2.19 08B17
1826,KTS1 C2.19 08B18
1827,KTS1 C2.20 08B19_02
1828,KTS1 C2.20 08B20
1829,KTS1 C2.20 08B21_01
1879,KTS1 C2.34 08C22d
1881,KTS1 C2.34 08C22b
1888,KTS1 C2.34 08C22c
1955,KTS1 C1.54 08E01
1958,KTS1 C1.54 08E04
1959,KTS1 C1.54 08E05
1961,KTS1 C1.54 08E07
1962,KTS1 C1.54 08E08a
1963,KTS1 C1.54 08E08b
1964,KTS1 C1.54 08E09
1965,KTS1 C1.54 08E10
1968,KTS1 C1.54 08E13
1969,KTS1 C1.54 08E14a
1970,KTS1 C1.54 08E14b
1971,KTS1 C1.54 08E14c
1972,KTS1 C1.54 08E15
1973,KTS1 C1.54 08E16a
1974,KTS1 C1.54 08E16b
1975,KTS1 C1.61 08E16c
1976,KTS1 C1.61 08E17
1977,KTS1 C1.61 08E18-1-2
1980,KTS1 C1.61 08E21_1
1981,KTS1 C1.61 08E22
1984,KTS1 C1.61 08E25
2195,KTS1 C3.40 08I23
2225,KTS1 C3.10 08J27a
2249,KTS1 C1.58 09A01
2250,KTS1 C1.58 09A02a
2251,KTS1 C1.58 09A02c
2252,KTS1 C1.58 09A02b
2253,KTS1 C1.58 09A03
2254,KTS1 C1.58 09A04
2255,KTS1 C1.58 09A05
2256,KTS1 C1.58 09A06g
2257,KTS1 C1.58 09A06i
2258,KTS1 C1.58 09A06e
2259,KTS1 C1.58 09A06h
2260,KTS1 C1.58 09A06c
2261,KTS1 C1.58 09A06b
2263,KTS1 C1.58 09A06d
2264,KTS1 C1.58 09A06f
2267,KTS1 C1.58 09A09
2268,KTS1 C1.58 09A10
2269,KTS1 C1.58 09A11
2270,KTS1 C1.58 09A12
2271,KTS1 C1.58 09A13
2273,KTS1 C1.58 09A15
2274,KTS1 C1.58 09A16
2276,KTS1 C1.58 09A18
2277,KTS1 C1.58 09A19
2278,KTS1 C1.58 09A20
2279,KTS1 C1.58 09A21
2280,KTS1 C1.58 09A22
2281,KTS1 C1.58 09A23
2282,KTS1 C1.58 09A24
2283,KTS1 C1.58 09A25a
2284,KTS1 C1.58 09A25b
2285,KTS1 C1.58 09A26
2286,KTS1 C1.59 09A27
2287,KTS1 C1.59 09A28
2288,KTS1 C1.59 09A29_01
2289,KTS1 C1.59 09A30
2290,KTS1 C1.59 09A31
2292,KTS1 C1.59 09A33
2293,KTS1 C1.59 09A34
2294,KTS1 C1.59 09A35
2295,KTS1 C1.13 09B01a
2298,KTS1 C1.13 09B03_01
2299,KTS1 C1.13 09B03_02
2302,KTS1 C1.13 09B06_01
2303,KTS1 C1.13 09B07
2304,KTS1 C1.13 09B08
2305,KTS1 C1.13 09B09
2306,KTS1 C1.13 09B10
2307,KTS1 C1.13 09B11
2309,KTS1 C1.13 09B13
2310,KTS1 C1.13 09B14b
2311,KTS1 C1.13 09B14a
2316,KTS1 C1.14 09B19
2317,KTS1 C1.14 09B20
2320,KTS1 C1.14 09B23a
2321,KTS1 C1.14 09B23b
2323,KTS1 C1.14 09B25
2324,KTS1 C1.14 09B26_01
2328,KTS1 C1.14 09C04
2330,KTS1 C1.14 09C06
2331,KTS1 C1.14 09C08
2332,KTS1 C1.14 09C09
2333,KTS1 C1.14 09C10
2334,KTS1 C1.14 09C11
2339,KTS1 C1.15 09C15a
2340,KTS1 C1.15 09C15b
2341,KTS1 C1.15 09C16
2342,KTS1 C1.15 09C17
2344,KTS1 C1.15 09C19
2345,KTS1 C1.15 09C20
2346,KTS1 C1.15 09C21
2347,KTS1 C1.15 09C22
2349,KTS1 C1.15 09C24
2351,KTS1 C1.15 09C26
2355,KTS1 C1.59 09D01c
2358,KTS1 C1.59 09D02e
2359,KTS1 C1.59 09D02d
2360,KTS1 C1.59 09D02a
2361,KTS1 C1.59 09D02b
2362,KTS1 C1.59 09D02c
2363,KTS1 C1.59 09D02f
2364,KTS1 C1.59 09D03_01
2365,KTS1 C1.59 09D04f
2366,KTS1 C1.59 09D04b
2367,KTS1 C1.59 09D04a
2368,KTS1 C1.59 09D04e
2369,KTS1 C1.59 09D04d
2370,KTS1 C1.59 09D04c
2372,KTS1 C1.59 09D05a-b
2374,KTS1 C1.59 09D07b
2376,KTS1 C1.59 09D08
2380,KTS1 C1.60 09D12
2381,KTS1 C1.60 09D13
2382,KTS1 C1.60 09D14
