qid,occurrence,label,description,instance_of,uri
Q2277,5,Roman Empire,period of ancient Rome following the Republic,Q48349,http://wikidata.org/entity/Q2277
Q110888,1,Kingdom of Essex,former kingdom on the island of Britain (527–825 CE),Q3024240,http://wikidata.org/entity/Q110888
Q105092,1,Kingdom of Mercia,one of the kingdoms of the Anglo-Saxon Heptarchy,Q3024240,http://wikidata.org/entity/Q105092
Q105313,4,Kingdom of Wessex,Anglo-Saxon kingdom in the south of Great Britain,Q3024240,http://wikidata.org/entity/Q105313
Q179876,62,Kingdom of England,historic kingdom on the British Isles (927–1649; 1660–1707),Q3624078,http://wikidata.org/entity/Q179876
Q161885,70,Kingdom of Great Britain,constitutional monarchy in Western Europe (1707–1800),Q3624078,http://wikidata.org/entity/Q161885
Q174193,117,United Kingdom of Great Britain and Ireland,historical sovereign state (1801–1922),Q3624078,http://wikidata.org/entity/Q174193
Q145,461,United Kingdom,island country in north-west Europe,Q3624078,http://wikidata.org/entity/Q145
Q21885994,2,City of Nottingham,"district in Nottinghamshire, England",Q1136601,http://wikidata.org/entity/Q21885994
Q101352,322,family name,"part of a naming scheme for individuals, used in many cultures worldwide",Q121493639,http://wikidata.org/entity/Q101352
Q1549591,4,big city,"city with a population of at least 100,000",Q98966309,http://wikidata.org/entity/Q1549591
Q42744322,4,urban municipality in Germany,"municipality with town privileges in Germany (may e.g. legally prepend ""Stadt"" to its name)",,http://wikidata.org/entity/Q42744322
Q85635630,2,urban district of North Rhine-Westphalia,,,http://wikidata.org/entity/Q85635630
Q3196771,18,art museum,institution (for buildings or spaces use Q207694),,http://wikidata.org/entity/Q3196771
Q76267394,1,Hugo Ferdinand van Zuylen van Nijevelt,(1821-1872),Q5,http://wikidata.org/entity/Q76267394
Q19883978,1,Jean Zacharie Mazel,Dutch lithographer (1792–1884),Q5,http://wikidata.org/entity/Q19883978
Q3815630,1,David Bles,19th-century painter from the Northern Netherlands (1821-1899),Q5,http://wikidata.org/entity/Q3815630
Q6689899,1,Louwrens Hanedoes,19th-century landscape painter from the Netherlands (1822-1905),Q5,http://wikidata.org/entity/Q6689899
Q4885435,1,Carel Vosmaer,"Dutch lawyer, court clerk, art historian, art collector, writer and poet (1826-1888)",Q5,http://wikidata.org/entity/Q4885435
Q2416994,1,Henri Camp,Dutch architect (1821–1875),Q5,http://wikidata.org/entity/Q2416994
Q3929544,1,Agnites Vrolik,Dutch politician (1810–1894),Q5,http://wikidata.org/entity/Q3929544
Q207694,146,art museum,"building or space for the exhibition of art (for institution, use Q3196771)",Q63982911,http://wikidata.org/entity/Q207694
Q17431399,41,national museum,museum maintained by a national authority,Q63982911,http://wikidata.org/entity/Q17431399
Q6255010,1,John Ritchie Findlay,British newspaper owner and philanthropist (1824-1898),Q5,http://wikidata.org/entity/Q6255010
Q2379199,2,City of Edinburgh,council area in Scotland,Q15060255,http://wikidata.org/entity/Q2379199
Q68826067,1,Edinburgh,Scottish parish,Q5124673,http://wikidata.org/entity/Q68826067
Q504952,1,collective noun,collection of things taken as a whole,,http://wikidata.org/entity/Q504952
Q13866185,4,museum library,library that is part of a museum,Q25397890,http://wikidata.org/entity/Q13866185
Q846659,2,Jewish cemetery,cemetery for Jewish people,Q39614,http://wikidata.org/entity/Q846659
Q162633,4,academy,institution of higher learning,Q17197366,http://wikidata.org/entity/Q162633
Q4830453,35,business,"organization undertaking commercial, industrial, or professional activity",Q2135465,http://wikidata.org/entity/Q4830453
Q5774403,4,historical society,"organization that collects, researches, interprets and preserves information or items of historical interest",,http://wikidata.org/entity/Q5774403
Q18811582,2,fraternity,collegiate social organization for men,,http://wikidata.org/entity/Q18811582
Q10549978,2,cultural association,association active within culture,Q17197366,http://wikidata.org/entity/Q10549978
Q1337365,1,Emilij Laszowski,Croatian historian and archivist of Polish origin (1868-1949),Q5,http://wikidata.org/entity/Q1337365
Q12644529,1,Velimir Deželić Sr.,Croatian writer and lexicographer (1864-1941),Q5,http://wikidata.org/entity/Q12644529
Q22806,36,national library,library specifically established by the government,,http://wikidata.org/entity/Q22806
Q1622062,9,university library,general library at an institution of higher education,Q25397890,http://wikidata.org/entity/Q1622062
Q856234,29,academic library,library attached to a higher education institution,Q25397890,http://wikidata.org/entity/Q856234
Q43229,126,organization,social entity established to meet needs or pursue goals,Q131362181,http://wikidata.org/entity/Q43229
Q245065,4,intergovernmental organization,organization composed primarily of sovereign states,Q17197366,http://wikidata.org/entity/Q245065
Q484652,4,international organization,organization established by treaty between governments,,http://wikidata.org/entity/Q484652
Q163740,73,nonprofit organization,organization operated for a collective benefit,Q10541491,http://wikidata.org/entity/Q163740
Q15180,9,Soviet Union,former country in Eurasia (1922–1991),Q512187,http://wikidata.org/entity/Q15180
Q13426199,4,Republic of China,1912–1949 country in Asia,Q3024240,http://wikidata.org/entity/Q13426199
Q133356,1,Ukrainian Soviet Socialist Republic,sovereign state (1919–1922) and a republic of the Soviet Union (1922–1991); one of the founding members of the UN in 1945,Q3024240,http://wikidata.org/entity/Q133356
Q2895,1,Byelorussian Soviet Socialist Republic,one of fifteen constituent republics of the Soviet Union (USSR); founding member of the United Nations Organization in 1945; now Belarus,Q236036,http://wikidata.org/entity/Q2895
Q115,1,Ethiopia,country in the Horn of Africa,Q3624078,http://wikidata.org/entity/Q115
Q33946,6,Czechoslovakia,"country in Central Europe, 1918–1992",Q3624078,http://wikidata.org/entity/Q33946
Q664,9,New Zealand,island country in the southwest Pacific Ocean,Q202686,http://wikidata.org/entity/Q664
Q851,1,Saudi Arabia,country in West Asia,Q3624078,http://wikidata.org/entity/Q851
Q796,2,Iraq,sovereign state in Western Asia,Q3624078,http://wikidata.org/entity/Q796
Q822,1,Lebanon,country in West Asia,Q3624078,http://wikidata.org/entity/Q822
Q750,2,Bolivia,sovereign state in South America,Q3624078,http://wikidata.org/entity/Q750
