qid,occurrence,label,description,instance_of,uri
Q2277,2,Roman Empire,period of ancient Rome following the Republic,Q48349,http://wikidata.org/entity/Q2277
Q110888,1,Kingdom of Essex,former kingdom on the island of Britain (527–825 CE),Q3024240,http://wikidata.org/entity/Q110888
Q105092,1,Kingdom of Mercia,one of the kingdoms of the Anglo-Saxon Heptarchy,Q3024240,http://wikidata.org/entity/Q105092
Q105313,2,Kingdom of Wessex,Anglo-Saxon kingdom in the south of Great Britain,Q3024240,http://wikidata.org/entity/Q105313
Q179876,2,Kingdom of England,historic kingdom on the British Isles (927–1649; 1660–1707),Q3624078,http://wikidata.org/entity/Q179876
Q161885,5,Kingdom of Great Britain,constitutional monarchy in Western Europe (1707–1800),Q3624078,http://wikidata.org/entity/Q161885
Q174193,8,United Kingdom of Great Britain and Ireland,historical sovereign state (1801–1922),Q3624078,http://wikidata.org/entity/Q174193
Q145,19,United Kingdom,island country in north-west Europe,Q3624078,http://wikidata.org/entity/Q145
Q21885994,1,City of Nottingham,"district in Nottinghamshire, England",Q1136601,http://wikidata.org/entity/Q21885994
Q101352,4,family name,"part of a naming scheme for individuals, used in many cultures worldwide",Q121493639,http://wikidata.org/entity/Q101352
Q1549591,2,big city,"city with a population of at least 100,000",Q98966309,http://wikidata.org/entity/Q1549591
Q42744322,4,urban municipality in Germany,"municipality with town privileges in Germany (may e.g. legally prepend ""Stadt"" to its name)",,http://wikidata.org/entity/Q42744322
Q85635630,2,urban district of North Rhine-Westphalia,,,http://wikidata.org/entity/Q85635630
Q3196771,14,art museum,institution (for buildings or spaces use Q207694),,http://wikidata.org/entity/Q3196771
Q76267394,1,Hugo Ferdinand van Zuylen van Nijevelt,(1821-1872),Q5,http://wikidata.org/entity/Q76267394
Q19883978,1,Jean Zacharie Mazel,Dutch lithographer (1792–1884),Q5,http://wikidata.org/entity/Q19883978
Q3815630,1,David Bles,19th-century painter from the Northern Netherlands (1821-1899),Q5,http://wikidata.org/entity/Q3815630
Q6689899,1,Louwrens Hanedoes,19th-century landscape painter from the Netherlands (1822-1905),Q5,http://wikidata.org/entity/Q6689899
Q4885435,1,Carel Vosmaer,"Dutch lawyer, court clerk, art historian, art collector, writer and poet (1826-1888)",Q5,http://wikidata.org/entity/Q4885435
Q2416994,1,Henri Camp,Dutch architect (1821–1875),Q5,http://wikidata.org/entity/Q2416994
Q3929544,1,Agnites Vrolik,Dutch politician (1810–1894),Q5,http://wikidata.org/entity/Q3929544
Q207694,109,art museum,"building or space for the exhibition of art (for institution, use Q3196771)",Q63982911,http://wikidata.org/entity/Q207694
Q17431399,35,national museum,museum maintained by a national authority,Q63982911,http://wikidata.org/entity/Q17431399
Q6255010,1,John Ritchie Findlay,British newspaper owner and philanthropist (1824-1898),Q5,http://wikidata.org/entity/Q6255010
Q2379199,1,City of Edinburgh,council area in Scotland,Q15060255,http://wikidata.org/entity/Q2379199
Q68826067,1,Edinburgh,Scottish parish,Q5124673,http://wikidata.org/entity/Q68826067
Q504952,1,collective noun,collection of things taken as a whole,,http://wikidata.org/entity/Q504952
