biblioitem,title,call_number,barcode,source_of_acquisition
5339,Vom Hof- zum Staatstheater.,TOP DE.DRE 7,20123376,Koopman
5340,Gebouwen om naar te luisteren.,TOP BE.FLA,20125563,Koopman
5341,De musica cum tonario,TRE AFFL,20125857,Koopman
5343,Homo ludens – Der spielende Mensch,HUM BAUE,20125920,Koopman
5344,Repertoire for a Swedish Bassoon Virtuoso.,INS6.6d AGRE,20127544,Koopman
5346,"Orglarna I S:T Jacob, 1644-1976.",INS3.1e SE.STO,20128775,Koopman
5348,Ornamentik der Musik für Tasteninstrumente.,INS3c,20120675,Koopman
5349,Ovidius:,LIT OVID a,20123580,Koopman
5349,Ovidius:,LIT OVID a,20123579,Koopman
5351,Cicero Philosophus Tekstboek,PHI AHLH a,20123578,Koopman
5352,Cicero Philosophus Hulpboek,PHI AHLH a,20123577,Koopman
5353,Die Weimarer Hofkapelle 1683-1851.,TOP DE.WEI1 5,20123711,Koopman
5354,Das Deutsche Cembalo. Symposium im Rahmen der 24- Tage Alter Musik in Herne 1999,INS3.2a DE,20125919,Koopman
5356,Fundament aller clavirten Instrumenten: Das Clavichord.,INS3.2d,20122397,Koopman
5357,"Cembalo, Clavecin, Harpsichord.",INS3.2b,20123800,Koopman
5358,Thematisches Verzeichnis der Werke von Johann Mederitsch detto Gallus,BIO MEDE c,20127870,Koopman
5359,The Voice.,INS2a,20120335,Koopman
5360,Vermeer,BIO VERM1 d,20122574,Koopman
5364,Langs kermissen en hoven:,TOP NL 5,20128243,Koopman
5365,Essays on Drama and Theatre:,LIT HUNN b,20122135,Koopman
5366,Venetian Drawings XV-XVIII Centuries,TOP IT.VEN1 4,20127059,Koopman
5367,Arien,SCO ALBE,20121546,Koopman
5367,Arien,SCO ALBE,20121545,Koopman
5369,"Due Organi in Concerto per l'inaugurazione del nuovo organo ""in Cornu Epistolae"" in Santa Maria della Passione a Milano",INS3.1e IT.MIL,20123564,Koopman
5370,"Zwölf Concerti à 4, op. 7",SCO ALBI2,20124039,Koopman
5371,Orgel-Weihe zu St. Jakob 1. Advent 1974,INS3.1e DE.PFU,20122980,Koopman
5372,"Caspar Othmayr, Leben und Werk",BIO OTHM d,20123417,Koopman
5373,"Eberhard Schrammen 1886-1947: Bauhauskünstler und Fotograf. Weimar, Gildenhall, Lübeck",BIO SCHR a,20127005,Koopman
5374,Corpus der mittelalterlichen Holzskulptur und Tafelmalerei in Schleswig-Holstein,TOP DE.SCH3 3,20120726,Koopman
5375,Typogrommel,BIB1 ALDU,20122794,Koopman
5376,'Allemaal Flauwekul' en andere typografische notities:,BIB1 ALDU,20120963,Koopman
5378,Met trekschuit en draagstoel:,BIO ALEN a,20127592,Koopman
5379,La Musica a Napoli durante il Seicento.,TOP IT.NAP 5,20128471,Koopman
5380,I Mozart nella Napoli di Hamilton:,BIO MOZA0 b,20120608,Koopman
5381,La peinture en Europe au 18e sièc,VIS ALEX,20127781,Koopman
5383,Diccionario de la Zarzuela.,TOP ES 6,20128066,Koopman
5385,International Piano Competitions,INS3.3d ALIN,20128394,Koopman
5385,International Piano Competitions,INS3.3d ALIN,20128393,Koopman
5385,International Piano Competitions,INS3.3d ALIN,20128392,Koopman
5388,"The Theory of Hexachords, Solmization and the Modal System",TRE ALLA,20128000,Koopman
5391,Arcangelo Corelli:,BIO CORE d,20123558,Koopman
5392,Cavalier Giovanni Battista Buonamente:,BIO BUON d,20120578,Koopman
5393,De Firma Rembrandt,BIO REMB e,20128989,Koopman
5394,Regards sur l'art hollandais du XVIIe siècle :,TOP NL 5,20122772,Koopman
5395,Een nieuw geluid uit oude pijpen,INS3.1e NL.ZWO,20120021,Koopman
5397,Untersuchungen zur Geschichte der Trompete im Zeitalter der Clarinblaskunst (1500-1800). 3 Bände,INS7.3a,20128371,Koopman
5397,Untersuchungen zur Geschichte der Trompete im Zeitalter der Clarinblaskunst (1500-1800). 3 Bände,INS7.3c,20128391,Koopman
5397,Untersuchungen zur Geschichte der Trompete im Zeitalter der Clarinblaskunst (1500-1800). 3 Bände,INS7.3a,20128390,Koopman
5399,"Als Bach Buxtehude ""behorchte"" ...",BIO BACH1 e,20123592,Koopman
5400,"Von Zinken, Serpenten und Giraffenklavieren",INS1b DE.LUB1,20122425,Koopman
5401,Die Messen von Ignaz Holzbauer (1711-1783),BIO HOLZ e,20127138,Koopman
5403,Bele buche e bele parleure:,INS2c,20127145,Koopman
5404,Het Beth Haim van Ouderkerk:,TOP NL.AMS,20125019,Koopman
5405,Simone Cantarini :,BIO CANT d,20120657,Koopman
5406,Kritischer Bericht: Motetten,SCO BACH1,20123501,Koopman
5408,De moord op Mozart van Nazareth,BIO MOZA1 e,20128519,Koopman
5409,Mémoire sur la musique des Chinois,TRE AMIO,20127545,Koopman
5410,Orgel oder Instrument Tabulaturbuch ,SCO AMME,20128350,Koopman
5411,"Chirurgijns, vrije meesters, beunhazen en kwakzalvers:",TOP NL 4,20128976,Koopman
5412,"Chirurgijns, vrije meesters, beunhazen en kwakzalvers:",SCI ANDE,20122186,Koopman
5414,Jacob Fabricius den yngres optegnelser 1617-1644,BIO FABR a,20127426,Koopman
5415,Sprookjes 2,LIT ANDE a,20130263,Koopman
5416,Orglet. Haandbog for orgelspillere,INS3.1c ANDE,20121081,Koopman
5417,"Fama Fraternitatis (1614), Confesio Fraternitatis (1615), Chymische Hochzeit: Christiani Rosencreutz. Anno 1459 (1616)",PHI ROSE a,20123464,Koopman
5419,"Carel Hacquart (1640-1701?), een biografische bijdrage",BIO HACQ d,20122851,Koopman
5421,El órgano en Valladolid y su provincia:,INS3.1a ES.VAL2,20120895,Koopman
5422,Antonio Salieri:,BIO SALI b,20128573,Koopman
5423,Sigismund Neukomm :,BIO NEUK a,20126846,Koopman
5424,Scripta musicologica,TRE ANGL,20125646,Koopman
5424,Scripta musicologica,TRE ANGL,20125645,Koopman
5424,Scripta musicologica,TRE ANGL,20125644,Koopman
5427,"Catálogo Musical de la Biblioteca Nacional de Madrid,",BIB4 ES.MAD,20125010,Koopman
5428,Floris en Cornelis Schuyt:,BIO SCHU13 e,20128666,Koopman
5429,Liszt saeculum volume 2,BIO LISZ d,20130328,Koopman
5430,Arte religioso en Cali,TOP CO.CAL,20127084,Koopman
5433,Twenty-seventh music festival at Cincinnati.,TOP US.CIN 7,20125027,Koopman
5434,English keyboard technique up to the Death of Henry Purcell,INS3a GB,20127825,Koopman
5435,De triomfeerende min:,BIO HACQ f,20125231,Koopman
5436,Catalogus no. 2 van oude schilderijen en teekeningen in het bezit van de N.V. kunsthandel P. de Boer,VIS XL DEBO,20125189,Koopman
5437,Eeuwfeest der Belgische Onafhankelijkheid: Tentoonstelling van oud-vlaamsche kunst,TOP BE.FLA,20128043,Koopman
5438,1985 anno europeo della musica.,TOP IT.VER,20125336,Koopman
5440,Een Schoon Liedekens-Boeck,LIT LIED a,20125330,Koopman
5441,Vivaldi spreekt tot ons,BIO VIVA e,20125350,Koopman
5442,Bach:,BIO BACH1 e,20125348,Koopman
5443,Portret van een componist:,BIO JOSQ f,20129744,Koopman
5444,The ICU Rieger Organ,INS3.1e JP.TOK,20129143,Koopman
5445,Organs in Japan,INS3.1a JP,20125826,Koopman
5446,"El Organo de Longares, Zaragoza, España, 1699.",INS 3.1e ES.ZAR,20125806,Koopman
5447,Exposition des instruments de musique du XVIII° siècle:,INS1a BE,20120975,Koopman
5453,Johannespassion,SCO MISC REIM,20121825,Koopman
5456,Eine deutsche Reise Anno 1708,TOP DE 5,20126744,Koopman
5457,Le Roman de Renart,LIT ROQU a,20126533,Koopman
5457,Le Roman de Renart,LIT ROQU a,20126532,Koopman
5457,Le Roman de Renart,LIT ROQU a,20126531,Koopman
5457,Le Roman de Renart,LIT ROQU a,20126530,Koopman
5457,Le Roman de Renart,LIT ROQU a,20126529,Koopman
5462,La Résurrection du Sauveur,LIT RESU a,20126525,Koopman
5463,Les Lais de Marie de France,LIT LAIS a,20126524,Koopman
5464,Courtois d'Arras.,LIT COUR a,20126519,Koopman
5465,Le Charrois de Nimes.,LIT a CHAR,20126515,Koopman
5466,Gormont et Isembart.,LIT GORM a,20126514,Koopman
5467,Le Couronnement de Louis.,LIT COUR a,20126513,Koopman
5468,Aucassin et Nicolette.,LIT AUCA a,20126512,Koopman
5469,Piramus et Tisbé.,LIT PIRA a,20126511,Koopman
5470,La vie de Saint Alexis.,LIT PARI a,20126508,Koopman
5471,Le mystère d'Adam,LIT ADAM a,20126494,Koopman
5472,L'Estoire de Griseldis en rimes et par personnages (1395),LIT ESTO a,20126493,Koopman
5473,Fabliaux,LIT JOHN a,20126491,Koopman
5474,Das altfranzösische Rolandslied nach der Oxforder Handschrift,LIT a ROLA,20126489,Koopman
5475,La mort le roi Artu,LIT MORT a,20126486,Koopman
5476,Zwei altfranzösische Reimpredigte,LIT SUCH a,20129734,Koopman
5477,De valore notularum tam veteris quam novæ artis; Compendium musicæ mensurabilis tam veteris quam novæ artis; De diversis maneriebus in musica mensurabili,TRE VALO,20123803,Koopman
5478,L'Arte organica. Di Costanzo Antegnati Organista del Duomo di Brescia.,INS3.1c,20128765,Koopman
5479,"Actes du colloque international de musicologie sur le grand motet français, 1663-1792",TOP FR 5,20125164,Koopman
5480,French Baroque Music from Beaujoyeulx to Rameau,TOP FR 5,20128220,Koopman
5482,"Henry Desmarest (1661-1741),",BIO DESM d,20123125,Koopman
5483,Musikgeschichte Österreichs.,TOP AT 0,20123450,Koopman
5483,Musikgeschichte Österreichs.,TOP AT 0,20123451,Koopman
5484,Italian Violin Music of the Seventeenth Century,INS4.1d APEL,20128608,Koopman
5485,Geschichte der Orgel- und Klaviermusik bis 1700,INS3a,20123442,Koopman
5486,Die Notation der polyphonen Musik,MTP1 APE,20123322,Koopman
5487,Gregorian Chant,GEN2,20126707,Koopman
5492,Geschichte der Kompositionslehre:,MTP1 APFE,20125323,Koopman
5492,Geschichte der Kompositionslehre:,MTP1 APFE,20125322,Koopman
5492,Geschichte der Kompositionslehre:,MTP1 APFE,20125320,Koopman
5493,"The triumph of Maximilian I, 137",BIO MAXI e,20121162,Koopman
5495,Stilkritische Untersuchungen zum Klavierwerk des Thomaskantors Johann Kuhnau (1660-1722) /,BIO KUHN1 e,20126750,Koopman
5496,Les agréments et le rythme. ,MTP 2 ARGE,20125134,Koopman
5497,Orlando furioso,LIT ARIO a,20120314,Koopman
5499,L'orgue de l'église de la Cité,INS3.1e FR.CIT,20127294,Koopman
5500,Sämtliche Komödien,LIT ARIS a,20120243,Koopman
5501,"Zur Idee und Geschichte eines ""Lehr- und Forschungsinstituts für alte Musik"":",TOP CH.BAS 7,20127926,Koopman
5506,Organs for America. The Life and Work of David Tannenberg,INS3.1b TANN,20125888,Koopman
5507,Studien zum Deutschen weltlichen kunstlied,TOP DE 5,20128474,Koopman
5508,The Oratorio in Venice,TOP IT.VEN1 5,20128128,Koopman
5509,Marenzio,BIO MARE d,20123193,Koopman
5510,Giovanni Gabrieli and the Music of the Venetian High Renaissance,BIO GABR1 e,20122862,Koopman
5511,Maddalena Lombardini Sirmen:,BIO LOMB d,20122597,Koopman
5513,The art of accompaniment from a thorough-bass as practised in the XVIIth & XVIIIth centuries. ,MTP 2 ARNO,20123290,Koopman
5514,Eine norddeutsche Fürstenbibliothek des frühen 18. Jahrhunderts :,BIB4 DE.WOL,20120169,Koopman
5515,Il conservatorio di musica San Pietro a Majella di Napoli,TOP IT.NAP,20125583,Koopman
5517,La scultura romanica nella plebana di San Faustino di Rubiera,TOP IT.RUB 3,20127855,Koopman
5518,Homeros Tekstboek,LIT HOME a,20123582,Koopman
5519,Homeros Hulpboek,LIT HOME a,20123581,Koopman
5520,English Works,LIT ASCH a,20123652,Koopman
5530,Lists of Payments to the King's Musick in the Reign of Charles II (1660-1685),TOP GB 5,20127865,Koopman
5532,Beiträge zur Musikgeschichte der Stadt Aachen,TOP DE.AAC,20126562,Koopman
5533,Dr. Jan Pieter Heije of de kunst,BIO HEIJ d,20123096,Koopman
5534,Compréhension et réalisation des temperaments anciens,MTP1 ASSE,20125142,Koopman
5535,Floris ende Blancefloer,LIT ASSE a,20122370,Koopman
5536,Paris,BIO ATGE a,20121500,Koopman
5537,The Music for Dessus de Viole of Louis Heudelinne (fl. c. 1700-1710),BIO HEUD e,20121491,Koopman
5539,Niet zo erg Hollands,BIO AUBI a,20123203,Koopman
5540,La Musique et les Musiciens de l'ancien pays de Liège,TOP BE.LIE 0,20125209,Koopman
5541,Die deutsche Clavichordkunst des 18. Jahrhunderts,INS3.2d AUER,20128374,Koopman
5542,Belijdenissen,PHI AUGU a,20130272,Koopman
5543,I disegni di Andrea Palladio,BIO PALL a,20122179,Koopman
5547,The Rood-Loft from Hertogenbosch,TOP NL.HER 5,20121112,Koopman
5548,Catalogus van de muziekinstrumenten,INS1b BE.BRU2,20125025,Koopman
5549,Aus Liebe will mein Heyland sterben:,TOP DE 5,20120611,Koopman
5550,Sevilla en la vida y la obra del,BIO CORR d,20128279,Koopman
5551,The Hauslaib Claviorgan in the Museu de la Música de Barcelona,INS3.1 b HAUS,20126887,Koopman
5552,"Domenico Zipoli, vida y obra",BIO ZIPO d,20125111,Koopman
5553,Baroque Organ-Cases of Portugal,INS3.1a PT,20128686,Koopman
5555,Jacob van Eyck's Der fluyten lust-hof :,BIO EYCK e,20123114,Koopman
5556,Het orgel in de teken- en schilderkunst,INS3.1a,20120061,Koopman
5557,Nederlandse kunst in het Rijksmuseum,TOP NL,20120687,Koopman
5559,Opgegraven historie en vertelde geschiedenis:,TOP NL 6,20125844,Koopman
5561,De kleine kroniek van Anna Magdalena Bach:,BIO BACH4 a,20121051,Koopman
5562,Die kleine Chronik der Anna Magdalena Bach,BIO BACH4 a,20121050,Koopman
5564,Autobiography ; Verzeichniss des musikalischen Nachlasses /,BIO BACH2 a,20127939,Koopman
5565,Briefe von Carl Philipp Emanuel Bach an Johann Gottlob Immanuel Breitkopf und Johann Nikolaus Forkel,BIO BACH2 a,20122916,Koopman
5567,Briefe und Dokumente:,BIO BACH2 a,20120452,Koopman
5567,Briefe und Dokumente:,BIO BACH2 a,20120451,Koopman
5569,Versuch über die wahre Art das Clavier zu spielen,INS3c,20122082,Koopman
5569,Versuch über die wahre Art das Clavier zu spielen,INS3c,20122083,Koopman
5569,Versuch über die wahre Art das Clavier zu spielen,INS3c,20122080,Koopman
5570,Carl Philipp Emanuel Bach edition /,BIO BACH2 c,20122079,Koopman
5637,Passion according to St. Luke (1771),SCO BACH2,20124118,Koopman
5643,Magnificat,SCO BACH2,20124098,Koopman
5666,Doe uzelf geen kwaad,PHI BACH a,20128944,Koopman
5667,Govert Jan Bach over het Weihnachtsoratorium,BIO BACH1 e,20127308,Koopman
5669,Johann Christoph Friedrich Bach:,BIO BACH7 b,20127269,Koopman
5678,"Das Bachdenkmal in Eisenach, Die Bachdenkmäler in Leipzig, Die Bachbüste von Georg Kolbe",BIO BACH1 e,20125270,Koopman
5679,Johann Sebastian Bachs Unterschriften,BIO BACH1 e,20125303,Koopman
5680,Kritisches Bericht: Kanons Musikalisches Opfer,SCO BACH1,20123485,Koopman
5681,L'Art de la fugue :,BIO BACH1 e,20123459,Koopman
5682,Johann Sebastian Bach:,BIO BACH1 b,20121285,Koopman
5684,The six Brandenburg concertos and the four orchestral suites,SCO BACH1,20121713,Koopman
5691,Inventionen und Sinfonien,SCO BACH1,20121658,Koopman
5694,Eleven Great Cantatas,SCO BACH1,20121637,Koopman
5695,Adventskantaten,SCO BACH1,20123955,Koopman
5696,Kantaten zum 2. und 3. Ostertag,SCO BACH1,20123948,Koopman
5697,Kantaten zu den Sonntagen Quasimodogeniti und Misercordias Domini,SCO BACH1,20123947,Koopman
5698,Kantaten zum Sonntag Jubilate,SCO BACH1,20123946,Koopman
5699,Kantaten zum Sonntag Cantate bis zum  Sonntag Exaudi,SCO BACH1,20123945,Koopman
5701,Kantaten zum 2. und 3. Pfingsttag,SCO BACH1,20123943,Koopman
5702,Kantaten zum Trinitatsfest und zum 1. Sonntag nach Trinitatis,SCO BACH1,20123942,Koopman
5703,Kantaten zum 2. und 3. Sonntag nach Trinitatis,SCO BACH1,20123941,Koopman
5704,Kantaten zum 7. und 8. Sonntag nach Trinitatis,SCO BACH1,20123940,Koopman
5705,Kantaten zum 1. Weihnachtstag,SCO BACH1,20123954,Koopman
5706,Kantaten zum 11. und 12. Sonntag nach Trinitatis,SCO BACH1,20123939,Koopman
5707,Kantaten zum 13. und 14. Sonntag nach Trinitatis,SCO BACH1,20123938,Koopman
5708,Kantaten zum 15. Sonntag nach Trinitatis,SCO BACH1,20123937,Koopman
5709,Kantaten zum 16. und 17. Sonntag nach Trinitatis,SCO BACH1,20123936,Koopman
5710,Kantaten zum 18. und 19. Sonntag nach Trinitatis,SCO BACH1,20123935,Koopman
5711,Kantaten zum 24. bis 27. Sonntag nach Trinitatis,SCO BACH1,20123934,Koopman
5712,Kantaten zum Johannisfest,SCO BACH1,20123933,Koopman
5713,Kantaten zum Michaelisfest,SCO BACH1,20123932,Koopman
5714,Kantaten zum Reformationsfest und zur Orgelweihe,SCO BACH1,20123931,Koopman
5715,Trauungskantaten,SCO BACH1,20123930,Koopman
5716,"Kirchenkantaten verschiedener, teils unbekannter Bestimmung",SCO BACH1,20123971,Koopman
5717,"Festmusiken für die fürstenhäuser von Weimar, Weissenfels und Köthen",SCO BACH1,20123970,Koopman
5718,Festmusiken für das kurfürstlich-sächsische Haus I,SCO BACH1,20123969,Koopman
5719,Festmusiken für das kurfürstlich-sächsische Haus II,SCO BACH1,20123968,Koopman
5721,"Festmusiken für Leipziger Rats- und Schulfeiern, Huldigungsmusiken für Adlige und Bürger",SCO BACH1,20123966,Koopman
5722,Kantaten zu Neujahr und zum Sonntag nach Neujahr,SCO BACH1,20123953,Koopman
5723,Hochzeitskantaten und weltliche Kantaten verschiedener Bestimmung,SCO BACH1,20123965,Koopman
5724,Kantaten zum Epiphaniasfest bis zum 2. Sonntag nach Epiphanias,SCO BACH1,20123952,Koopman
5725,Kantaten zum 3. und 4. Sonntag nach Epiphanias,SCO BACH1,20123951,Koopman
5726,Kantaten zu den Sonntagen Septuagesimae und Sexagesimae,SCO BACH1,20123950,Koopman
5727,Kantaten zum 1. Ostertag,SCO BACH1,20123949,Koopman
5728,Lutherische Messen und einzelne Messensätze,SCO BACH1,20123964,Koopman
5729,Magnificat,SCO BACH1,20123963,Koopman
5730,Oster-Oratorium,SCO BACH1,20123962,Koopman
5732,Motetten,SCO BACH1,20123960,Koopman
5733,"Choräle und Geistliche Lieder Teil 2, Choräle der Sammlung C.P.E. Bach nach dem Druck von 1884-1787",SCO BACH1,20123959,Koopman
5736,"Konzerte für Violine, für zwei Violinen, für Cembalo, Flöte und Violine",SCO BACH1,20123958,Koopman
5737,Orgelwerke.,SCO BACH1,20121735,Koopman
5737,Orgelwerke.,SCO BACH1,20121733,Koopman
5737,Orgelwerke.,SCO BACH1,20121729,Koopman
5737,Orgelwerke.,SCO BACH1,20121734,Koopman
5737,Orgelwerke.,SCO BACH1,20121724,Koopman
5737,Orgelwerke.,SCO BACH1,20121723,Koopman
5737,Orgelwerke.,SCO BACH1,20121722,Koopman
5737,Orgelwerke.,SCO BACH1,20121721,Koopman
5737,Orgelwerke.,SCO BACH1,20121720,Koopman
5737,Orgelwerke.,SCO BACH1,20121719,Koopman
5737,Orgelwerke.,SCO BACH1,20121718,Koopman
5737,Orgelwerke.,SCO BACH1,20121717,Koopman
5737,Orgelwerke.,SCO BACH1,20121716,Koopman
5748,Das Wohltemperirte Clavier I,SCO BACH1,20124206,Koopman
5752,Also nahm ich ... (2),BIO BACHL1 a,20126973,Koopman
5754,Zur Geschichte der Berliner Gesangbücher.,TOP DE.BER 5,20122434,Koopman
5755,Die Anfänge des Streichinstrumentspiels,INS4a,20128110,Koopman
5756,Sir Constantine Huygens and Brita,BIO HUYG1 e,20120877,Koopman
5757,A Commentary upon The Art Of Proper Singing,INS2c,20128126,Koopman
5758,250 Jahre Commerzbibliothek der Handelskammer Hamburg 1735-1985,BIB4 DE.HAM,20122108,Koopman
5759,George Stevens 1904-1975,BIO STEV2 b,20125707,Koopman
5760,Interpreting Mozart on the Keyboard,BIO MOZA1 e,20123063,Koopman
5761,Interpreting Bach at the Keyboard,BIO BACH1 e,20128931,Koopman
5762,Een drukkend gewicht:,BIO VRIE d,20123397,Koopman
5763,Organi e organisti nella Cattedrale di Lucca,INS3.1e IT.LUC,20121078,Koopman
5764,L'Organo di Azzolino B. della Ciaia.,INS3.1e IT.PIS,20126635,Koopman
5766,European and American Musical Instruments,INS1a,20126990,Koopman
5770,Gott betert desen tidt,BIO SCHE7 d,20122669,Koopman
5771,De verzameling Van Eeghen:,TOP NL.AMS,20128049,Koopman
5772,Een nieuw orgel... voor de Oud Gereformeerde Gemeente te Ede,INS3.1e NL.EDE,20129102,Koopman
5776,De Viola d'Amore,INS4.2a,20125175,Koopman
5777,De hollandsche vioolmakers,INS4.1b NL,20125273,Koopman
5778,Het muziekleven in Nederland in de 17de en 18de eeuw,TOP NL 5,20127970,Koopman
5779,Quirinus Gideon van Blankenburg,BIO BLAN d,20121394,Koopman
5780,Gerolamo Savoldo,BIO SAVO a,20129414,Koopman
5781,Libri omissi italiani del Cinquecento provenienti dalla biblioteca di Isaac Vossius ora nella biblioteca di Leida,BIB4 NL.LEI,20122614,Koopman
5784,L'Église de Saint-Benoit-sur-Loire & Germigny-des-Prés,TOP FR.SAI6,20126583,Koopman
5785,Melancholie und Musik.,VIS BAND,20127900,Koopman
5786,Alphons Diepenbrock:,BIO DIEP d,20128293,Koopman
5788,"Tactus, Tempo and Notation in Mensural Music from the 13th to the 17th Century",MTP1 BANK,20129172,Koopman
5789,Geschiedenis der Katholieke Kerkmuziek,GEN 2,20122042,Koopman
5791,Johann Friedrich Doles,BIO DOLE d,20123122,Koopman
5792,Mozart.,BIO MOZA1 e,20129220,Koopman
5793,Verzeichnis der Europäischen Musikinstrumente im Germanischen Nationalmuseum Nürnberg.,INS6.4a DE.NUR,20127607,Koopman
5794,Filippo Maria Gherardeschi (1738-1808) :,BIO GHER d,20122399,Koopman
5796,El tiempo Musical. ,MTP2 BARB,20125107,Koopman
5797,Juan Bautista Comes y su tiempo:,BIO COME d,20120459,Koopman
5798,Life and the Arts in the Baroque Palaces of Rome:,TOP IT.ROM 5,20127169,Koopman
5799,Farinelli :,BIO FARI1 d,20120775,Koopman
5801,"Pokorny und der ""Schacht-Katalog"":",BIO POKO e,20128679,Koopman
5802,Diderot et la musique,BIO DIDE e,20123124,Koopman
5803,Oost-Indië gespiegeld :,BIO GRAA d,20121173,Koopman
5805,The keyboard music of C.P.E. Bach,BIO BACH2 c,20122913,Koopman
5806,"The Contemporary American Organ. Its Evolution, Design and Construction",INS3.1a US,20128703,Koopman
5808,Musicus et cantor:,GEN2,20127903,Koopman
5809,Cante ao baldao: uma pratica de desafio no Alentejo.,MTP 2 BARR,20127567,Koopman
5810,Handbuch der musikalischen Figurenlehre,MTP1 BART,20123598,Koopman
5811,Vokale und instrumentale Aspekte im musiktheoretischen Schrifttum der 1. Hälfte des 17. Jahrhunderts :,MTP 2 BART,20128068,Koopman
5812,Kritischer Bericht: Kantaten zum 20. und 21. Sonntag nach Trinitatis,SCO BACH1,20123522,Koopman
5813,Haydn als Opernkapellmeister:,BIO HAYD1 e,20128047,Koopman
5814,Au cœur de la harpe au XVIIIeme,INS5.3a BART,20127530,Koopman
5815,"André Campra, sa vie et son œuvre",BIO CAMP d,20122872,Koopman
5816,Catalogue des imprimés musicaux anciens du Conservatoire royal de musique de Liège,BIB4 BE.LIE,20128362,Koopman
5817,Collected English Lutenist Partsongs,SCO MISC GREE2,20121632,Koopman
5817,Collected English Lutenist Partsongs,SCO MISC GREE2,20121633,Koopman
5818,Memoirs of Dr. William Boyce,BIO BOYC a,20130321,Koopman
5820,Das musikalische Heidelberg seit den Kurfürsten,TOP DE.HEI1 0,20130204,Koopman
5821,De Pentamerone:,LIT BASI a,20120307,Koopman
5822,The Oboe.,INS6.3a,20128382,Koopman
5824,The Penguin Book of English Madrigals,SCO S STEV,20122789,Koopman
5825,"A Briefe Introduction to the Skill of Song, c.1587",INS2c,20125687,Koopman
5826,Tout Racine /,BIO RACI c,20123686,Koopman
5827,Les Fleurs du Mal,LIT BAUD a,20122279,Koopman
5828,Antwerps huiszilver uit de 17e en 18e eeuw.,TOP BE.ANT 5,20121032,Koopman
5829, Zilver uit de Gouden Eeuw van Antwerpen.,TOP BE.ANT 5,20121031,Koopman
5830,Haste Töne,VIS BAUE,20125247,Koopman
