biblioitem,title,call_number,barcode,source_of_acquisition
731,... ad uso di Serafino Agostini,SCO S HAND,20124610,Koopman
879,Spiegel van den Ouden en Nieuwen Tijdt.,LIT CATS a,20126072,Koopman
1081,Musique ancienne,TRE LAND,20136612,Koopman
2431,Les Fleurs secrètes du jardin,09E28a,20137263,Koopman
2981,Die nothwendigsten Anmerckungen und Regeln wie der Bassus continuus oder General-Baß wol könne tractiret werden,TRE WERC,20124599,Koopman
3124,The Fitzwilliam Virginal Book,SCO MISC FITZ,20135754,Koopman
3124,The Fitzwilliam Virginal Book,SCO MISC FITZ,20135755,Koopman
3477,Het orgel in de groote- of St. Michiels-kerk te Zwolle,INS3.1e NL.ZWO,20128954,Koopman
4217,"Boertigh, amoreus en aendachtigh groot lied-boeck",LIT BRED a,20124512,Koopman
5295,Tagebuch einer musikalischen Reise durch Frankreich und Italien,BIO BURN a,20126438,Koopman
5298,Festival van Vlaanderen 1985,TOP BE.FLA,20127748,Koopman
5300,Internationales Buxtehudefest,BIO BUXT c,20127086,Koopman
5302,De Tooverfluit,LIT AAFJ a,20128958,Koopman
5303,De Pianoforte in Nederland 1757-1813,NS3.3a NL,20122924,Koopman
5305,"The Organs and Organists of St. Mary's Church, Nottingham",INS3.1e GB.NOT,20120920,Koopman
5306,Orgelspel på gammalt vis,INS3.1c,20125156,Koopman
5307,Die stilistischen Voraussetzungen der Cantiones sacrae von Heinrich Schütz,BIO SCHU5 e,20123075,Koopman
5308,W. A. Mozart,BIO MOZA1 d,20128492,Koopman
5308,W. A. Mozart,BIO MOZA1 d,20128491,Koopman
5311,"Concert Music, 1630-1750",GHM0,20123441,Koopman
5312,Bericht über den siebenten internationalen musikwissenschaftlichen Kongress Köln 1958,REF3 ABRA,20123365,Koopman
5313,Der Generalbass im Schaffen des Michael Praetorius,BIO PRAE e,20128230,Koopman
5314,Singing Dante:,TOP IT 4,20127643,Koopman
5315,De roem van Rohrau,BIO HAYD1 e,20123098,Koopman
5316,Gli occhiali = Spectacles,SCI ACER,20128842,Koopman
5317,Studien über die komische Oper in Frankreich im 18. Jahrhundert und ihre Beziehungen zu Molière,TOP FR 5,20122480,Koopman
5319,Niederländische Doppelrohrblattinstrumente des 17. und 18. Jahrhunderts:,INS large (na INS PER),20125298,Koopman
5320,Volksmuziek en Volksinstrumenten in Europa,INS1a,20127878,Koopman
5321,Cryptogamen,LIT ACHT a,20128826,Koopman
5322,Verzamelde Gedichten,LIT ACHT a,20120225,Koopman
5323,Organum Gruningense Redivivum,INS3.1e DE.HAL2,20121298,Koopman
5324,L'opera completa di Bramantino e,BIO BRAM e,20120685,Koopman
5325,Il restauro degli organi di S. Petronio,INS3.1e IT.BOL,20129030,Koopman
5326,Erard et l'invention de la harpe moderne 1811-2011,INS5.3b ERAR,20122100,Koopman
5327,Le Clavier vivant = The Living Keyboard,INS3a LASC,20122463,Koopman
5329,A Trumpet by Any Other Name.,INS4.9a,20123482,Koopman
5329,A Trumpet by Any Other Name.,INS4.9a,20123481,Koopman
5337,A.Z. Idelsohn Archives at the Jewish National and University Library:,BIB4 IL,20127486,Koopman
