biblionumber;barcode
1;20140375
1;20140376
2;20140377
3;20140378
4;20140379
5;20140389
6;20140391
7;20140390a
8;20140390b
9;20140392
10;20140393
11;20140394
12;20140395
13;20140140
14;20140299
15;20140383a
16;20140396
17;20140383b
18;20140397
19;20140398
20;20140387
21;20140386
22;20140385
23;20140384
24;20140399
25;20140402
26;20140400
28;20140403
29;20140404
30;20140388
31;20140413
32;20136024
33;20136025
34;20136023
35;20140414
36;20136022
37;20140411
38;20140410
39;20140412
40;20140415
41;20140405
42;20140409
43;20140406a
44;20140406c
45;20140406b
46;20140406d
47;20140406e
48;20140406f
49;20140417
50;20145663
51;20140416
52;20145665
53;20145664
54;20136021
55;20145676
56;20145675
57;20145674
58;20145677
59;20145678
60;20145679
61;20145666
61;20145667
61;20145668
61;20145669
61;20145670
61;20145671
61;20145672
61;20145673
62;20145680
63;20145686
64;20145685
65;20145683
66;20145682
67;20145684
68;20145681
69;20137522
70;20137763
71;20137764
71;20137765
71;20137766
71;20137767
72;20137771
72;20137772
72;20137773
72;20137774
73;20137782
74;20137762
75;20137748
76;20137783
76;20137784
76;20137785
77;20137787
77;20137788
78;20137786
79;20137775
80;20137780
81;20137779
82;20137789
83;20137790
83;20137791
83;20137792
84;20137781
85;20137794
86;20137795
87;20137796
88;20137793
89;20137797
90;20137805
91;20137798
92;20136220
93;20137799
94;20137801
95;20137800
96;20137802
97;20137808
98;20137806
99;20137807
100;20137776
101;20137777
102;20137809
103;20137818
104;20137817
105;20137778
106;20137815
107;20137814
108;20137812
109;20137813
111;20137816
113;20137811
114;20137819
115;20137823
116;20137822
117;20137810
118;20145687b
119;20145689
120;20145688
121;20145687a
122;20145690
123;20145692
123;20145693
123;20145694
123;20145695
124;20145691
125;20145696
126;20145697
126;20145698
126;20145699
127;20135978
128;20145701
129;20145703
130;20145702
131;20145704
131;20145705
131;20145706
132;20145700
133;20137803
133;20137804
134;20145708
135;20145707
136;20145709
137;20135793
138;20135794
139;20135796
140;20135797
141;20135795
142;20136451
143;20135822
144;20136449
145;20136452
146;20135823
147;20135816
148;20135818
149;20135813
150;20135817
151;20135814
152;20135812
153;20135815
154;20136448
154;20136670
154;20136671
155;20135819
156;20135821
157;20135820
158;20136450
159;20136027
160;20138242
161;20138240
161;20138241
162;20138244
163;20138245
164;20138246
165;20138247
166;20138251
166;20138252
167;20138250
168;20138249
169;20138243
170;20138261
171;20138270
172;20138248
173;20138271
174;20138285
175;20138286
176;20138290
176;20140230
177;20138272
178;20138287
179;20138288
180;20138293
181;20138289
182;20138269
183;20138295
184;20138294
185;20138310
186;20138309
187;20145717
188;20145718
189;20138311
190;20145710
191;20145719
192;20145721
193;20145720
194;20145722
195;20145723
196;20135979
197;20135997
198;20145724
199;20136026
200;20145725
202;20145727
203;20145726
204;20139723
205;20145731
207;20145730
208;20145732a
209;20145732b
210;20136322
211;20140418
212;20140419
213;20140407
214;20140408
215;20145734
216;20140420
217;20140421
218;20140423
219;20140422
220;20140425
220;20140426
220;20140427
222;20140424
223;20140428
224;20140429
226;20140430
227;20140432
228;20140431
229;20140434
230;20140433
231;20140436
232;20140437
233;20140435
234;20140438
235;20138180
237;20138181
237;20138182
238;20138184
239;20138185
240;20138183
242;20138188
243;20138186
244;20138165
245;20138190
246;20138187
247;20136028
248;20138191
249;20138189
250;20138203
250;20138204
251;20136029
252;20138206
253;20138208
254;20138205
255;20138207
256;20138210
257;20138209
258;20145879
259;20145876
259;20145877
259;20145878
260;20145880
260;20145881
261;20138212
262;20145889
263;20145890
264;20145891
265;20145882
265;20145883
266;20145893
267;20145894
268;20145895
269;20145896
270;20145892
271;20136059
272;20145897d
273;20145897c
274;20145897b
275;20145897a
276;20145897e
277;20145875
277;20145873
278;20145898
279;20145897f
280;20145902
281;20145874
282;20145899
283;20145906
284;20136058
285;20145903
285;20145904
285;20145905
286;20145907
287;20137521
288;20145910
289;20145908
290;20145911
291;20145912
292;20145913
293;20145914
294;20145915
295;20145909
296;20145916a-b
297;20145921
297;20136338
298;20145916d
299;20145916e
300;20145916c
301;20145916g
302;20145916h
303;20145916i
304;20145916j
305;20145916k
306;20145916f
307;20145916m
308;20145916n
309;20145922
310;20145916l
311;20138211
312;20136030
313;20138213
313;20138214
313;20138215
313;20138216
314;20138217
315;20138219
316;20138220
317;20138218
318;20138222
318;20140218
318;20140219
318;20140216
319;20138223
321;
321;
322;
322;
324;20138221
325;20136032
326;20138224
326;20138225
326;20138226
327;20136031
328;20138227
328;20138228
328;20138229
328;20138236
329;20138237
330;20138239
331;20138238
332;20139042
333;20139055
334;20139056
335;20139057
336;20139062a
337;20139062b
338;20139063
339;20139058
