field,subfield,property,data_type,retrieve_label,is_biblionumber,is_authority,is_code,code_type,description
245,a,dcterms:title,Text,,FALSE,FALSE,FALSE,,Title
245,b,bf:subtitle,Text,,FALSE,FALSE,FALSE,,Subtitle
250,a,bf:editionStatement,Text,,FALSE,FALSE,FALSE,,Edition
260,a,gnd:placeOfManufacture,Text,,FALSE,FALSE,FALSE,,Place of publication
260,b,dcterms:publisher,Text,,FALSE,FALSE,FALSE,,Publisher
260,c,dcterms:date,Number,,FALSE,FALSE,FALSE,,Year of publication
490,a,bf:seriesStatement,Text,,FALSE,FALSE,FALSE,,Series statement
490,v,bibo:volume,Text,,FALSE,FALSE,FALSE,,Volume/ sequential designation
001,,dcterms:isPartOf,Item,,TRUE,FALSE,FALSE,,Parent record
300,a,bibo:numPages,Text,,FALSE,FALSE,FALSE,,Extent pages
500,a,bf:note,Text,,FALSE,FALSE,FALSE,,General Note
533,a,curation:note,Text,,FALSE,FALSE,FALSE,,Reproduction note
653,9,bf:index,Item,,FALSE,TRUE,FALSE,,Ton Koopman's keyword
952,e,dcterms:provenance,Text,,FALSE,FALSE,FALSE,,Provencance code
952,o,bf:shelfMark,Text,,FALSE,FALSE,FALSE,,Call number
952,p,bf:identifiedBy,Text,,FALSE,FALSE,FALSE,,Barcode
952,y,bf:media,Text,,FALSE,FALSE,TRUE,item_types,Koha Item Type for ITEM
