location_code_952$c,associated_item_set,description
KTS1_C1,172,Cell 1
KTS1_C2,172,Cell 2
KTS1_C3,172,Cell 3
KTS1_P,239,Pyramidezaal
KTS1_H,238,Hallway
KTS0,240,Ground level
KM12_3,244,"Main building, third floor"
KM12_2,243,"Main building, second floor"
KM12_1,242,"Main building, first floor"
