field,subfield,property,data_type,retrieve_label,is_biblionumber,is_authority,is_code,code_type,description
001,,dcterms:identifier,Number,,FALSE,FALSE,FALSE,,
024,1,schema:identifier,URI,024$2,FALSE,FALSE,FALSE,,
110,a,dcterms:title,Text,,FALSE,FALSE,FALSE,,Main Heading
510,9,dcterms:isPartOf,URI,510$a,FALSE,TRUE,FALSE,,Umbrella Corporate
550,9,dcterms:subject,URI,550$a,FALSE,TRUE,FALSE,,Umbrella Topical
520,a,dcterms:abstract,Text,,FALSE,FALSE,FALSE,,Abstract
366,k,schema:startDate,Timestamp,,FALSE,FALSE,FALSE,,Lifecycle
366,l,schema:endDate,Timestamp,,FALSE,FALSE,FALSE,,Lifecycle
,,,,,FALSE,FALSE,FALSE,,
,,,,,FALSE,FALSE,FALSE,,
,,,,,FALSE,FALSE,FALSE,,
,,,,,FALSE,FALSE,FALSE,,
,,,,,FALSE,FALSE,FALSE,,
